times,x,y,vx,vy,radius
29.581,0.9310156428559325,-0.325944781678734,0.0,0.0,0.16971369537272638
29.606,0.9014947976036711,-0.35962576647532485,0.0,0.0,0.09739875215672769
29.631,0.9356304050064796,-0.32108596566332986,0.0,0.0,0.1680167427889747
29.656,0.9242335053226063,-0.32125663503487484,0.0,0.0,0.1476727664748952
29.68,0.9230851012206828,-0.33231527409936934,0.0,0.0,0.14348596915939646
29.706,0.9268228921398894,-0.34142473694820125,0.0,0.0,0.15313250154756206
29.73,0.9272484554940642,-0.34990300967958987,0.0,0.0,0.15361168637799535
29.756,0.933031977330812,-0.33616648863516085,0.0,0.0,0.1481306306663328
29.781,0.9343324442897272,-0.35460888001393553,0.0,0.0,0.15655212340091026
29.805,0.915407342289205,-0.40055971383875444,0.0,0.0,0.10302066831353054
29.83,0.9466711365910973,-0.36620004017575414,0.0,0.0,0.17437538018080243
29.856,0.9358786831325293,-0.3737497921622135,0.0,0.0,0.1579177277833527
29.881,0.94198704550716,-0.3763241298040525,0.0,0.0,0.1607605006657216
29.906,0.9156065342119093,-0.42290265196560745,0.0,0.0,0.10262350907902948
29.931,0.9390878711346862,-0.3988765220429273,0.0,0.0,0.16548812968204005
29.956,0.9448319060819432,-0.4077524291922419,0.0,0.0,0.1756199816679285
29.981,0.944714443508753,-0.39986129844651247,0.0,0.0,0.162369318487925
30.006,0.9500787508733606,-0.4125894647659505,0.0,0.0,0.1708018058575291
30.031,0.9231830225672915,-0.4577873101185768,0.0,0.0,0.10930261308555064
30.056,0.9483225372146514,-0.4225313161719455,0.0,0.0,0.16623492732459907
30.081,0.9257980246545556,-0.46974527405714706,0.0,0.0,0.10874308371119745
30.106,0.9503503325557576,-0.43668943992412274,0.0,0.0,0.16743166448239963
30.131,0.931392339183976,-0.4830459699494158,0.0,0.0,0.11095492919579616
30.156,0.9560429551518156,-0.44196714526335523,0.0,0.0,0.1663692865085414
30.181,0.960370742913027,-0.4537695454829523,0.0,0.0,0.1735847978967908
30.206,0.9518935149059413,-0.461106630108003,0.0,0.0,0.16733391848387455
30.231,0.9629141690419465,-0.4697335576219648,0.0,0.0,0.17699042502358417
30.256,0.9657352603233237,-0.4744089777035511,0.0,0.0,0.18160186046518909
30.28,0.9377104772597848,-0.522235505735559,0.0,0.0,0.11248840108266611
30.306,0.9657045265573849,-0.4923139541736087,0.0,0.0,0.17909640862799434
30.33,0.970793306533577,-0.49443284669759463,0.0,0.0,0.18392009873840923
30.356,0.9621065298302269,-0.508922185855504,0.0,0.0,0.17987447129289905
30.381,0.9700306806867524,-0.507943688275275,0.0,0.0,0.17929016206345003
30.406,0.9689829718536713,-0.5246785995968131,0.0,0.0,0.1856270030199256
30.431,0.9759475650733065,-0.5272427874500751,0.0,0.0,0.18826269675267324
30.456,0.9695725809340702,-0.5259625003477049,0.0,0.0,0.17266287587088278
30.48,0.9417739577092561,-0.5775658577524181,0.0,0.0,0.11888504913835424
30.506,0.9603494109253341,-0.5562072504510092,0.0,0.0,0.1799018318826848
30.53,0.9685585782775696,-0.56794852456697,0.0,0.0,0.1919408975929285
30.556,0.9658942577638614,-0.5686748332747191,0.0,0.0,0.18643204267602456
30.581,0.9701730586093869,-0.5623804073979533,0.0,0.0,0.17222462528090862
30.606,0.9743738892480738,-0.577725572102207,0.0,0.0,0.18742636629028184
30.631,0.9875127289842051,-0.5772334109182324,0.0,0.0,0.18798644194267886
30.656,0.95670292206067,-0.6151649247615305,0.0,0.0,0.14317029924979918
